"ID","Area","COUNTY","EXTERNAL","DISTRICT","SUPER_DIST_25"
2400,18.171503,5,0,224,12
2364,3.051913,5,0,222,12
2361,0.759783,5,0,222,12
2409,19.966515,5,0,224,12
2347,3.082653,5,0,222,12
2345,0.909812,5,0,222,12
2344,1.011140,5,0,222,12
2415,6.143722,5,0,224,12
2346,2.095720,5,0,222,12
2399,16.974852,5,0,224,12
2360,0.342516,5,0,222,12
2362,3.541914,5,0,222,12
2290,1.830883,5,0,206,12
2289,4.036704,5,0,206,12
2288,5.528042,5,0,206,12
2285,5.750325,5,0,206,12
2395,21.368860,5,0,225,12
2302,25.293695,5,0,206,12
2291,7.521091,5,0,206,12
2292,3.225068,5,0,206,12
2376,2.228304,5,0,223,12
2374,1.705555,5,0,223,12
2411,19.413897,5,0,224,12
2367,0.868137,5,0,223,12
2408,15.077847,5,0,224,12
2410,13.705756,5,0,224,12
2366,3.259582,5,0,223,12
2365,18.269484,5,0,223,12
