id,purpose,freq_dep,freq_arr,freq_dur
31,imain,21312.43626,43043.35166,1055.212062
31,jdisc,17921.81203,7303.455971,0
31,jmain,2943.598529,6154.866282,0
31,sch,532.7116026,38604.02612,1672.717455
31,Total,132825.1494,311102.3649,12166.08182
31,univ,2943.845763,7212.061376,2708.598432
31,work,3775.060987,149114.009,6484.246657
32,atwork,0,1293.499939,0
32,esc,14946.38523,17125.21799,92.78178336
32,idisc,66813.33628,38684.39129,59.41058603
32,imain,21705.97809,36877.84238,322.7934536
32,jdisc,17408.43382,10226.57185,0
32,jmain,4244.008205,5191.211811,0
32,sch,1999.582251,21880.42451,1631.418038
32,Total,138041.9927,249391.4978,7135.487211
32,univ,3513.904576,7897.76453,109.6733654
32,work,7410.364206,110214.5735,4919.409984
33,atwork,342.5437958,648.0769426,0
33,esc,11912.45893,12035.10546,243.1541609
33,idisc,42905.67315,41351.25887,618.6072821
33,imain,22840.77597,33954.58491,529.7835685
33,jdisc,9087.746954,8798.311725,0
33,jmain,5957.103298,5861.67909,0
33,sch,614.4765861,17355.13989,543.3228591
33,Total,98003.02403,202043.0025,6752.558372
33,univ,2021.983914,3470.030686,101.4857927
33,work,2320.261435,78568.81495,4716.204708
34,atwork,994.2416813,151.4656233,0
34,esc,6403.524152,13926.6464,0
34,idisc,31023.12877,58242.63256,446.3805508
34,imain,11830.30593,37142.4885,78.44680221
34,jdisc,3558.30665,16005.55029,0
34,jmain,3175.230155,3609.495267,0
34,sch,371.2493542,13842.7613,0
34,Total,59189.24712,203147.9636,3982.248577
34,univ,550.339615,4592.609253,265.6693489
34,work,1282.920821,55634.3144,3191.751875
35,atwork,118.8295738,261.9420639,0
35,esc,4848.687922,16397.3325,0
35,idisc,20663.84077,76549.28388,0
35,imain,7468.024617,27402.79328,118.4254035
35,jdisc,3531.78986,17380.22081,0
35,jmain,811.2048206,8432.386392,0
35,sch,36.39324842,20606.95585,0
35,Total,39735.2075,228210.323,2956.129388
35,univ,644.5256796,8195.605689,352.9212994
35,work,1611.911008,52983.80253,2484.782685
36,atwork,124.5324242,391.8143333,0
36,esc,6491.437896,6019.880827,0
36,idisc,14314.22225,60953.83037,0
36,imain,3253.012949,20321.0629,0
36,jdisc,6368.13709,10928.29148,0
36,jmain,359.6338663,1924.102394,0
36,sch,0,4060.922098,0
36,Total,33499.52357,143257.7582,1570.076755
36,univ,0,4707.156176,98.206149
36,work,2588.547098,33950.69762,1471.870606
37,atwork,699.0461888,698.0582854,0
37,esc,1993.754163,11138.30909,72.01177053
37,idisc,7797.693244,62105.62051,0
37,imain,7511.108696,22191.78622,0
37,jdisc,206.4441681,11299.18346,0
37,jmain,360.796094,3603.672177,0
37,sch,0,6257.943366,0
37,Total,23835.56946,156524.6878,942.5102064
37,univ,497.945302,4733.155307,403.5069033
37,work,4768.781609,34496.9594,466.9915326
38,atwork,0,699.0461888,0
38,esc,2492.484089,5014.800838,0
38,idisc,6314.521391,31989.80936,97.25091932
38,imain,845.5607728,9110.785696,171.9794268
38,jdisc,0,8205.087418,0
38,jmain,275.3085432,1259.569069,0
38,sch,0,4053.4012,0
38,Total,13402.34765,90340.43856,1417.332484
38,univ,0,6656.437411,1133.027278
38,work,3474.472851,23351.50138,15.0748598
39,atwork,0,226.2714176,0
39,esc,932.0010917,4420.075764,0
39,idisc,3377.336931,28150.17722,0
39,imain,1517.000303,8167.922714,0
