GEO_ID,TractID,CensusTract,County,State,Census_HH,Census_A0,Census_A1,Census_A2,Census_A3,Census_A4
1400000US26029000400,26029000400,Census Tract 4, Charlevoix County, Michigan,1096,16,291,517,187,85
1400000US26029000500,26029000500,Census Tract 5, Charlevoix County, Michigan,280,5,110,108,46,11
1400000US26029000800,26029000800,Census Tract 8, Charlevoix County, Michigan,1228,52,302,518,220,136
1400000US26029000900,26029000900,Census Tract 9, Charlevoix County, Michigan,857,22,215,438,127,55
1400000US26029001000,26029001000,Census Tract 10, Charlevoix County, Michigan,918,31,267,364,174,82
1400000US26029001100,26029001100,Census Tract 11, Charlevoix County, Michigan,812,92,297,293,105,25
1400000US26029001200,26029001200,Census Tract 12, Charlevoix County, Michigan,1199,51,376,492,221,59
1400000US26029001300,26029001300,Census Tract 13, Charlevoix County, Michigan,706,70,281,282,58,15
1400000US26029001400,26029001400,Census Tract 14, Charlevoix County, Michigan,497,20,223,165,49,40
1400000US26029001500,26029001500,Census Tract 15, Charlevoix County, Michigan,1313,147,667,392,94,13
1400000US26029990000,26029990000,Census Tract 9900, Charlevoix County, Michigan,0,0,0,0,0,0
1400000US26031960100,26031960100,Census Tract 9601, Cheboygan County, Michigan,1347,72,506,504,187,78
1400000US26031960200,26031960200,Census Tract 9602, Cheboygan County, Michigan,1214,138,499,420,129,28
1400000US26031960300,26031960300,Census Tract 9603, Cheboygan County, Michigan,1930,228,645,731,237,89
1400000US26031960400,26031960400,Census Tract 9604, Cheboygan County, Michigan,1692,48,487,875,217,65
1400000US26031960500,26031960500,Census Tract 9605, Cheboygan County, Michigan,1115,12,417,450,172,64
1400000US26031960600,26031960600,Census Tract 9606, Cheboygan County, Michigan,1166,19,380,564,156,47
1400000US26031960700,26031960700,Census Tract 9607, Cheboygan County, Michigan,1406,48,502,616,187,53
1400000US26031960800,26031960800,Census Tract 9608, Cheboygan County, Michigan,1478,43,456,614,235,130
1400000US26031990000,26031990000,Census Tract 9900, Cheboygan County, Michigan,0,0,0,0,0,0
1400000US26033970100,26033970100,Census Tract 9701, Chippewa County, Michigan,1246,25,252,606,255,108
1400000US26033970200,26033970200,Census Tract 9702, Chippewa County, Michigan,1335,129,630,441,103,32
1400000US26033970300,26033970300,Census Tract 9703, Chippewa County, Michigan,1505,299,627,410,137,32
1400000US26033970400,26033970400,Census Tract 9704, Chippewa County, Michigan,1070,131,428,375,114,22
1400000US26033970500,26033970500,Census Tract 9705, Chippewa County, Michigan,1671,240,701,593,91,46
1400000US26033970600,26033970600,Census Tract 9706, Chippewa County, Michigan,1996,77,671,837,284,127
1400000US26033970700,26033970700,Census Tract 9707, Chippewa County, Michigan,437,29,189,147,53,19
1400000US26033970800,26033970800,Census Tract 9708, Chippewa County, Michigan,1526,63,412,644,324,83
1400000US26033970900,26033970900,Census Tract 9709, Chippewa County, Michigan,1087,79,480,410,64,54
1400000US26033971000,26033971000,Census Tract 9710, Chippewa County, Michigan,1308,54,379,594,193,88
1400000US26033971100,26033971100,Census Tract 9711, Chippewa County, Michigan,823,49,262,345,128,39
1400000US26033980100,26033980100,Census Tract 9801, Chippewa County, Michigan,0,0,0,0,0,0
1400000US26033980200,26033980200,Census Tract 9802, Chippewa County, Michigan,0,0,0,0,0,0
1400000US26033980300,26033980300,Census Tract 9803, Chippewa County, Michigan,0,0,0,0,0,0
1400000US26033990000,26033990000,Census Tract 9900, Chippewa County, Michigan,0,0,0,0,0,0
1400000US26033990100,26033990100,Census Tract 9901, Chippewa County, Michigan,0,0,0,0,0,0
1400000US26035000100,26035000100,Census Tract 1, Clare County, Michigan,738,43,225,328,101,41
1400000US26035000200,26035000200,Census Tract 2, Clare County, Michigan,560,32,135,246,116,31
1400000US26035000300,26035000300,Census Tract 3, Clare County, Michigan,1048,54,465,420,101,8
1400000US26035000400,26035000400,Census Tract 4, Clare County, Michigan,1457,95,500,533,219,110
1400000US26035000500,26035000500,Census Tract 5, Clare County, Michigan,609,72,212,190,96,39
